The	AT the AT-TL the
Fulton	NP-TL fulton NP fulton
County	NN-TL county
Grand	JJ-TL grand
Jury	NN-TL jury
said	VBD say VBN say
Friday	NR friday
an	AT an
investigation	NN investigation
of	IN of IN-TL of IN-HL of
Atlanta's	NP$ atlanta 's
recent	JJ recent
primary	NN primary JJ primary
election	NN election
produced	VBD produce
``	`` ` `
no	AT no RB no
evidence	NN evidence
''	'' ''
that	CS that WPS that CST that DT that QL that WPR that
any	DTI any
irregularities	NNS irregularity
took	VBD take
place	NN place VB place
.	. . .-HL .
jury	NN jury NN-HL jury
further	RBR far JJR far VB far
in	IN in RP in IN-HL in IN-TL in
term-end	NN term - end
presentments	NNS presentment
the	AT the AT-TL the AT-HL the
City	NN-TL city NN city NN-TL-HL city
Executive	JJ-TL executive NN-TL executive
Committee	NN-TL committee NN committee
,	, , ,-HL ,
which	WDT which
had	HVD have HVN have HVD-HL have
over-all	JJ over - all
charge	NN charge VB charge
deserves	VBZ deserve
praise	NN praise
and	CC and CC-TL and CC-HL and
thanks	NNS thank NNS-HL thank
Atlanta	NP-TL atlanta NP atlanta
for	IN for IN-TL for IN-HL for CS for RB for
manner	NN manner
was	BEDZ be BEDZ-HL be
conducted	VBN conduct
September-October	NP september - october
term	NN term
been	BEN be
charged	VBN charge VBD charge VBN-HL charge
by	IN by IN-HL by
Superior	JJ-TL superior
Court	NN-TL court NN-HL court
Judge	NN-TL judge
Durwood	NP durwood
Pye	NP pye
to	TO to IN to IN-HL to TO-HL to IN-TL to NPS to
investigate	VB investigate
reports	NNS report VBZ report
possible	JJ possible
hard-fought	JJ hard - fight
won	VBN win VBD win
Mayor-nominate	NN-TL mayor - nominate
Ivan	NP ivan
Allen	NP allen
Jr.	NP jr.
Only	RB only AP only
a	AT a AT-HL a
relative	JJ relative
handful	NN handful
such	JJ such ABL such QL such
received	VBN receive VBD receive
considering	IN consider VBG consider
widespread	JJ widespread
interest	NN interest
number	NN number NN-HL number
voters	NNS voter
size	NN size
this	DT this DT-HL this
city	NN city
it	PPS it PPO it
did	DOD do
find	VB find
many	AP many
Georgia's	NP$ georgia 's
registration	NN registration
laws	NNS law
are	BER be BER-HL be
outmoded	JJ outmoded
or	CC or
inadequate	JJ inadequate
often	RB often
ambiguous	JJ ambiguous
It	PPS it
recommended	VBD recommend VBN recommend
legislators	NNS legislator
act	VB act NN act
have	HV have
these	DTS these
studied	VBN study VBD study VBN-HL study
revised	VBN revise VBD revise
end	NN end VB end
modernizing	VBG modernize
improving	VBG improve
them	PPO they
grand	JJ grand
commented	VBD comment
on	IN on IN-TL on RP on IN-HL on
other	AP other
topics	NNS topic
among	IN among
purchasing	VBG purchase
departments	NNS department
well	QL well RB well JJ well
operated	VBN operate VBD operate
follow	VB follow
generally	RB generally
accepted	VBN accept VBD accept
practices	NNS practice VBZ practice
inure	VB inure
best	JJT good RBT good JJT-HL good VB good
both	ABX both
governments	NNS government
Merger	NN-HL merger
proposed	VBN-HL propose VBN propose VBD propose
However	WRB however
believes	VBZ believe
two	CD two
offices	NNS office
should	MD should
be	BE be BE-HL be
combined	VBN combine VBD combine
achieve	VB achieve
greater	JJR great
efficiency	NN efficiency
reduce	VB reduce
cost	NN cost VB cost VBD cost
administration	NN administration
Purchasing	VBG-TL purchase
Department	NN-TL department
is	BEZ be BEZ-HL be
lacking	VBG lack VBG-HL lack
experienced	VBN experienced
clerical	JJ clerical
personnel	NNS personnel
as	CS as QL as CS-HL as IN as
result	NN result
policies	NNS policy
urged	VBD urge VBN-HL urge VBN urge
take	VB take
steps	NNS step
remedy	VB remedy
problem	NN problem NN-HL problem
Implementation	NN implementation
automobile	NN automobile
title	NN title
law	NN law
also	RB also
outgoing	JJ outgoing
next	AP next
Legislature	NN-TL legislature
provide	VB provide
enabling	VBG enable
funds	NNS fund NNS-HL fund
re-set	VB re - set
effective	JJ effective
date	NN date VB date
so	CS so QL so RB so
orderly	JJ orderly
implementation	NN implementation
may	MD may
effected	VBN effect
swipe	NN swipe
at	IN at IN-HL at IN-TL at
State	NN-TL state NN state
Welfare	NN-TL welfare
Department's	NN$-TL department 's
handling	NN handle VBG handle
federal	JJ federal
granted	VBN grant
child	NN child
welfare	NN welfare NN-HL welfare
services	NNS service
foster	JJ foster
homes	NNS home
This	DT this
one	CD one PN one
major	JJ major
items	NNS item
general	JJ general NN general
assistance	NN assistance
