	CD
“Recently	RB
there	EX
was	BEDZ
the	NN
illusion	NN
that	CS
Hamas	NP
,	,
while	VBD
not	*
a	AT
perfect	JJ
partner	NN
,	,
was	BEDZ
at	IN
least	AP
a	AT
group	NN
that	WPS
could	MD
implement	NN
decisions	NNS
,	,
”	NP
he	NP
said.	NP
“The	NP
bomb	NN
in	IN
Armagh	JJ
is	NN
a	AT
reminder	JJ
that	CS
the	NN
public	NN
should	MD
remain	NN
vigilant	NN
,	,
”	NP
said	VBD
an	AT
RUC	JJ
spokesman.	JJ
“They	JJ
were	JJ
never	RB
out	RP
of	IN
Peruvian	JJ
air	NN
space	NN
,	,
”	NP
he	NP
said	VBD
,	,
denying	VBG
Peru’s	NP
account	VBD
that	CS
the	NN
plane	NN
had	HVD
entered	VBN
Peruvian	JJ
airspace	NN
from	IN
Brazil.	NP
''	''
Rubbish	NN
''	''
is	NN
how	WRB
Ron	NP
Dennis	NP
described	VBD
our	PP$
recent	JJ
report	NNS
that	CS
Ayrton	NP
Senna	NP
had	HVD
demanded	VBN
a	AT
personal	JJ
motorhome	NN
and	CC
other	AP
perks	NNS
from	IN
McLaren	NP
in	IN
1991.	DTS
“O'Neill	NNS
had	HVD
an	AT
emotional	JJ
reaction	NN
that	CS
the	NN
level	NN
of	IN
corruption	NN
was	BEDZ
too	QL
high	JJ
to	IN
do	NP
serious	JJ
projects	NNS
in	IN
Russia	NP
,	,
”	NP
Deripaska	NP
recalls.	NP
A	AT
high	JJ
level	NN
of	IN
awareness	NN
about	IN
the	NN
possibility	NN
of	IN
pregnancy	NN
is	NN
also	RB
reflected	VBN
in	IN
the	NN
fact	NN
that	WPS
almost	RB
one	CD
quarter	NN
of	IN
the	NN
respondents	NNS
mentioned	JJ
the	NN
possible	JJ
negative	JJ
consequence	NN
that	CS
the	NN
“female	JJ
partner	NN
gets	NN
pregnant.”	NN
A	AT
high-ranking	JJ
official	JJ
in	IN
the	NP
Clinton	NP
administration	NN
expressed	VBD
shock	NN
that	CS
“the	JJ
kids”	NN
in	IN
the	NP-TL
White	JJ-TL
House	NN-TL
“did	JJ
not	*
stand	VB
up	RP
when	WRB
the	NP
president	NN
entered	NN
the	NN
room.	VBN
A	AT
month	JJ
later	JJR
after	CS
the	NN
incident	NN
,	,
there	EX
was	BEDZ
a	AT
rumor	NN
that	CS
her	PP$
parents	NNS
