	NN
“Recently	RB
there	EX
was	BEDZ
the	NN
illusion	NN
that	CS
Hamas	NP
,	,
while	NN
not	*
a	AT
perfect	JJ
partner	NN
,	,
was	BEDZ
at	IN
least	AP
a	AT
group	NN
that	WPS
could	MD
implement	NN
decisions	NNS
,	,
”	NN
he	NN
said.	NN
“The	NN
bomb	NN
in	IN
Armagh	NP
is	VBN
a	AT
reminder	NN
that	CS
the	NP
public	NN
should	MD
remain	NN
vigilant	JJ
,	,
”	NN
said	VBD
an	AT
RUC	JJ
spokesman.	NN
“They	NN
were	JJ
never	RB
out	RP
of	IN
Peruvian	JJ
air	NN
space	NN
,	,
”	NN
he	NN
said	VBD
,	,
denying	NN
Peru’s	JJ
account	NN
that	CS
the	NP
plane	NN
had	HVD
entered	VBN
Peruvian	JJ
airspace	NN
from	IN
Brazil.	NP
''	''
Rubbish	NN
''	''
is	NN
how	WRB
Ron	NP
Dennis	NP
described	VBD
our	PP$
recent	JJ
report	NNS
that	CS
Ayrton	NP
Senna	NP
had	HVD
demanded	VBN
a	AT
personal	JJ
motorhome	NNS
and	CC
other	AP
perks	NNS
from	IN
McLaren	NP
in	IN
1991.	DT
“O'Neill	NN
had	HVD
an	AT
emotional	JJ
reaction	NN
that	CS
the	NP
level	NN
of	IN
corruption	NN
was	BEDZ
too	QL
high	JJ
to	TO
do	VB
serious	JJ
projects	NNS
in	IN
Russia	NP
,	,
”	NN
Deripaska	NP
recalls.	VBD
A	AT
high	JJ
level	NN
of	IN
awareness	NN
about	IN
the	NN
possibility	NN
of	IN
pregnancy	JJ
is	NN
also	RB
reflected	VBN
in	IN
the	NN
fact	NN
that	WPS
almost	RB
one	CD
quarter	NN
of	IN
the	NN
respondents	NNS
mentioned	JJ
the	NN
possible	JJ
negative	JJ
consequence	NN
that	CS
the	NP
“female	NN
partner	NN
gets	NN
pregnant.”	NN
A	AT
high-ranking	JJ
official	JJ
in	IN
the	NP
Clinton	NP
administration	NN
expressed	VBD
shock	NN
that	CS
“the	NN
kids”	NN
in	IN
the	NP-TL
White	JJ-TL
House	NN-TL
“did	NN
not	*
stand	VB
up	RP
when	WRB
the	NP
president	NN
entered	VBN
the	NN
room.	NN
A	AT
month	JJ
later	JJR
after	CS
the	NP
incident	NN
,	,
there	EX
was	BEDZ
a	AT
rumor	NN
that	CJT
her	PP$
parents	NNS
had	HVD
